country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","06-03-2025 18:00:00",21.224231,81.408350,SO2,12,49,23
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","06-03-2025 18:00:00",21.224231,81.408350,CO,4,49,9
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","06-03-2025 18:00:00",21.224231,81.408350,OZONE,8,23,18
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","06-03-2025 18:00:00",22.08815,82.13737,NO2,15,23,20
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","06-03-2025 18:00:00",22.118125,83.140608,SO2,2,88,29
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","06-03-2025 18:00:00",22.368195,82.746431,PM2.5,36,67,52
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","06-03-2025 18:00:00",22.368195,82.746431,NO2,26,65,37
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","06-03-2025 18:00:00",22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","06-03-2025 18:00:00",22.368195,82.746431,OZONE,4,11,5
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","06-03-2025 18:00:00",26.1403345,85.3650192,OZONE,14,107,76
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","06-03-2025 18:00:00",25.586562,85.043586,NH3,2,3,3
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","06-03-2025 18:00:00",25.592539,85.227158,PM2.5,83,246,150
India,Bihar,Patna,"Muradpur, Patna - BSPCB","06-03-2025 18:00:00",25.619651,85.147382,NH3,4,6,5
India,Bihar,Patna,"Muradpur, Patna - BSPCB","06-03-2025 18:00:00",25.619651,85.147382,SO2,4,9,6
India,Bihar,Patna,"Muradpur, Patna - BSPCB","06-03-2025 18:00:00",25.619651,85.147382,OZONE,12,23,18
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","06-03-2025 18:00:00",25.892357,86.590325,CO,20,58,38
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","06-03-2025 18:00:00",25.859655,85.77944,NO2,1,2,1
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","06-03-2025 18:00:00",25.859655,85.77944,OZONE,4,7,6
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","06-03-2025 18:00:00",24.952822,84.002396,NO2,2,3,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","06-03-2025 18:00:00",24.952822,84.002396,CO,49,56,52
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","06-03-2025 18:00:00",26.2271665,84.3570427,NH3,1,1,1
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","06-03-2025 18:00:00",21.371751,81.664929,SO2,9,47,16
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","06-03-2025 18:00:00",22.06631475,83.33820077,NO2,22,49,29
India,Delhi,Delhi,"Alipur, Delhi - DPCC","06-03-2025 18:00:00",28.815329,77.153010,PM2.5,30,217,82
India,Delhi,Delhi,"Alipur, Delhi - DPCC","06-03-2025 18:00:00",28.815329,77.153010,NO2,35,55,43
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","06-03-2025 18:00:00",28.647622,77.3158090,CO,49,96,76
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","06-03-2025 18:00:00",27.308328,84.531742,SO2,6,7,6
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","06-03-2025 18:00:00",26.63086,84.90051,PM2.5,10,150,46
India,Bihar,Munger,"Town Hall, Munger - BSPCB","06-03-2025 18:00:00",25.376776,86.471523,PM2.5,48,187,78
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","06-03-2025 18:00:00",26.11442,85.39813,PM2.5,64,314,135
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","06-03-2025 18:00:00",26.11442,85.39813,OZONE,17,33,29
India,Bihar,Patna,"Samanpura, Patna - BSPCB","06-03-2025 18:00:00",25.596727,85.085624,SO2,4,8,7
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","06-03-2025 18:00:00",25.366336,87.117468,PM10,6,80,50
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","06-03-2025 18:00:00",25.366336,87.117468,CO,4,74,59
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","06-03-2025 18:00:00",25.03280,85.41948,NO2,8,10,9
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","06-03-2025 18:00:00",25.03280,85.41948,OZONE,33,37,34
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","06-03-2025 18:00:00",30.735567,76.775714,SO2,13,24,18
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","06-03-2025 18:00:00",30.751462,76.762879,SO2,4,14,9
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","06-03-2025 18:00:00",30.719859,76.738637,PM2.5,23,68,44
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","06-03-2025 18:00:00",21.194815,81.314770,PM2.5,9,38,24
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","06-03-2025 18:00:00",21.258815,81.578979,PM10,20,81,42
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","06-03-2025 18:00:00",21.258815,81.578979,NO2,30,60,48
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","06-03-2025 18:00:00",21.219665,81.630094,SO2,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","06-03-2025 18:00:00",22.1910172,83.5197009,SO2,6,10,8
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","06-03-2025 18:00:00",28.5710274,77.0719006,SO2,15,30,21
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","06-03-2025 18:00:00",28.5627763,77.1180053,PM2.5,15,117,64
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","06-03-2025 18:00:00",28.6811736,77.3025234,PM10,87,121,102
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","06-03-2025 18:00:00",28.6811736,77.3025234,NO2,26,65,48
India,Delhi,Delhi,"ITO, Delhi - CPCB","06-03-2025 18:00:00",28.628624,77.241060,PM10,44,125,87
India,Delhi,Delhi,"ITO, Delhi - CPCB","06-03-2025 18:00:00",28.628624,77.241060,NO2,9,42,24
India,Delhi,Delhi,"Narela, Delhi - DPCC","06-03-2025 18:00:00",28.822836,77.101981,PM10,59,142,96
India,Delhi,Delhi,"Narela, Delhi - DPCC","06-03-2025 18:00:00",28.822836,77.101981,CO,9,32,18
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","06-03-2025 18:00:00",28.567890,77.250515,NH3,4,5,4
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","06-03-2025 18:00:00",28.567890,77.250515,CO,41,64,55
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","06-03-2025 18:00:00",28.567890,77.250515,OZONE,46,140,114
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","06-03-2025 18:00:00",28.6573814,77.1585447,PM2.5,16,88,54
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","06-03-2025 18:00:00",28.6573814,77.1585447,PM10,73,168,110
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","06-03-2025 18:00:00",28.695381,77.181665,CO,15,31,20
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","06-03-2025 18:00:00",28.4706914,77.1099364,NO2,1,29,16
India,Delhi,Delhi,"Bawana, Delhi - DPCC","06-03-2025 18:00:00",28.776200,77.051074,PM2.5,40,207,97
India,Delhi,Delhi,"Bawana, Delhi - DPCC","06-03-2025 18:00:00",28.776200,77.051074,NO2,14,29,19
India,Delhi,Delhi,"Bawana, Delhi - DPCC","06-03-2025 18:00:00",28.776200,77.051074,NH3,5,5,5
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","06-03-2025 18:00:00",28.7256504,77.2011573,CO,33,44,39
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","06-03-2025 18:00:00",28.623763,77.287209,OZONE,27,159,132
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","06-03-2025 18:00:00",28.674045,77.131023,SO2,7,87,42
India,Delhi,Delhi,"Pusa, Delhi - DPCC","06-03-2025 18:00:00",28.639652,77.146275,PM2.5,27,130,65
India,Delhi,Delhi,"Pusa, Delhi - DPCC","06-03-2025 18:00:00",28.639652,77.146275,NO2,42,91,71
India,Delhi,Delhi,"Pusa, Delhi - DPCC","06-03-2025 18:00:00",28.639652,77.146275,NH3,5,11,10
India,Delhi,Delhi,"Pusa, Delhi - IMD","06-03-2025 18:00:00",28.636110,77.173332,CO,10,28,18
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","06-03-2025 18:00:00",28.636429,77.201067,NO2,102,145,123
India,Delhi,Delhi,"Mundka, Delhi - DPCC","06-03-2025 18:00:00",28.684678,77.076574,PM2.5,23,213,92
India,Delhi,Delhi,"Mundka, Delhi - DPCC","06-03-2025 18:00:00",28.684678,77.076574,PM10,101,197,147
India,Delhi,Delhi,"Mundka, Delhi - DPCC","06-03-2025 18:00:00",28.684678,77.076574,NO2,33,53,40
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","06-03-2025 18:00:00",28.570173,76.933762,PM2.5,10,170,65
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","06-03-2025 18:00:00",28.570173,76.933762,CO,17,50,27
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","06-03-2025 18:00:00",28.732820,77.170633,OZONE,32,113,90
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","06-03-2025 18:00:00",28.580280,77.233829,NO2,31,54,43
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","06-03-2025 18:00:00",28.5918245,77.2273074,NO2,7,21,14
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","06-03-2025 18:00:00",28.611281,77.237738,SO2,8,27,14
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","06-03-2025 18:00:00",28.656756,77.227234,PM10,84,352,150
India,Delhi,Delhi,"DTU, Delhi - CPCB","06-03-2025 18:00:00",28.7500499,77.1112615,NH3,10,11,10
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","06-03-2025 18:00:00",28.498571,77.264840,PM10,64,152,111
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","06-03-2025 18:00:00",28.5504249,77.2159377,NH3,9,14,12
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","06-03-2025 18:00:00",28.710508,77.249485,CO,32,109,104
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","06-03-2025 18:00:00",28.531346,77.190156,SO2,14,34,20
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","06-03-2025 18:00:00",28.563262,77.186937,OZONE,12,25,21
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","06-03-2025 18:00:00",28.5504249,77.2159377,NO2,43,48,45
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","06-03-2025 18:00:00",23.020509,72.579261,CO,16,143,49
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","06-03-2025 18:00:00",23.016834,72.625775,NO2,16,150,56
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","06-03-2025 18:00:00",23.016834,72.625775,CO,2,129,19
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","06-03-2025 18:00:00",23.043070,72.562968,NH3,1,2,1
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","06-03-2025 18:00:00",21.613267,73.010555,PM10,55,107,81
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","06-03-2025 18:00:00",21.613267,73.010555,OZONE,31,40,38
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","06-03-2025 18:00:00",23.163798,72.677768,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","06-03-2025 18:00:00",12.938539,77.590100,CO,17,68,22
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","06-03-2025 18:00:00",12.920984,77.584908,NH3,1,1,1
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","06-03-2025 18:00:00",12.920984,77.584908,CO,6,92,25
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","06-03-2025 18:00:00",12.920984,77.584908,OZONE,13,30,23
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","06-03-2025 18:00:00",12.7816279,77.6299145,PM10,79,120,106
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","06-03-2025 18:00:00",13.003872,77.664217,SO2,8,9,9
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","06-03-2025 18:00:00",23.243639,72.68994,PM10,49,120,88
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","06-03-2025 18:00:00",23.221714,72.654328,SO2,4,6,5
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","06-03-2025 18:00:00",22.969611,72.643500,SO2,1,18,5
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","06-03-2025 18:00:00",22.969611,72.643500,OZONE,1,3,2
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","06-03-2025 18:00:00",28.593883,76.270653,PM10,56,109,86
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","06-03-2025 18:00:00",28.593883,76.270653,CO,6,25,14
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","06-03-2025 18:00:00",28.376058,77.315741,OZONE,20,21,20
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","06-03-2025 18:00:00",28.4417,77.3217,SO2,6,6,6
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","06-03-2025 18:00:00",28.422681,77.148944,PM2.5,15,78,46
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","06-03-2025 18:00:00",28.422681,77.148944,CO,22,27,24
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","06-03-2025 18:00:00",12.951913,77.539784,NH3,2,2,2
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","06-03-2025 18:00:00",12.951913,77.539784,SO2,30,50,41
